Scenario,Model,Round,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time,Validation Period,Model Ranking,Validation Perf
dist,cart,0,23,0.11378205128205128,0.2784313725490196,0.9695793948899988,0.161547212741752,0.7937035201198783,0.16451441051614954,0.03226556813615339,3.282541603781283,0.20800377998966724,15,"[1, 0, 2, 5, 3, 4, 8, 6, 7]","[0.8879273387010821, 0.8977220378920692, 0.9681907099587702, 0.9620357346225351, 0.9575763993185883, 0.9624709950434297, 0.949001739255389, 0.9463253739359391, 0.9533186175747956]"
dist_leak,cart,0,23,0.04714064914992272,0.7176470588235294,0.8443472159161266,0.08846990572878898,0.8426200665482277,0.15672481699293409,0.10074932793047443,3.282541603781283,0.08904295600950718,15,"[2, 5, 3, 4, 8, 6, 7, 1, 0]","[0.8879273387010821, 0.8977220378920692, 0.9681907099587702, 0.9620357346225351, 0.9575763993185883, 0.9624709950434297, 0.949001739255389, 0.9463253739359391, 0.9533186175747956]"
stationary,cart,0,24,0.04229299363057325,0.5886524822695035,0.8417786125515495,0.07891609222724032,0.7577611661333383,0.12603371779826117,0.11620127076423273,3.6819491317728534,0.006918246042914689,-1,[0],[-1]
retrain,cart,0,24,0.21014492753623187,0.30851063829787234,0.9786860479359765,0.25,0.8306885165794681,0.24413972164593742,0.021587519456330948,3.6819491317728534,0.006375344004482031,-1,[9],[-1]
oracle,cart,0,24,0.056066449124888756,0.6702127659574468,0.8662774080274387,0.10347659457979742,0.8460374914786103,0.16683736106412111,0.0929950169762822,3.6819491317728534,0.10385276400484145,10,"[6, 9, 8, 2, 5, 1, 3, 4, 0, 7]","[0.7577611661333383, 0.8045784947805297, 0.816003236004194, 0.7989789858938224, 0.7944477450945064, 0.8124393395692183, 0.8460374914786103, 0.7033710427720304, 0.8236037884041132, 0.8306885165794681]"
laf,cart,0,24,0.07635009310986965,0.1453900709219858,0.9699073128904495,0.10012210012210013,0.7033710427720304,0.09099249850209418,0.023456708931011892,3.6819491317728534,5.013554607983679,23,"[7, 1, 9, 8, 5, 6, 2, 4, 0, 3]",[-1]
crc,cart,0,24,0.21014492753623187,0.30851063829787234,0.9786860479359765,0.25,0.8306885165794681,0.24413972164593742,0.021587519456330948,3.6819491317728534,0.07632305193692446,10,"[9, 7, 1, 2, 5, 6, 0, 4, 8, 3]",[-1]
temporal,cart,0,24,0.05788761002031144,0.6063829787234043,0.8818341431546283,0.10568603213844252,0.8236037884041132,0.16098040756286705,0.08157697078249662,3.6819491317728534,0.10425386903807521,9,"[8, 6, 3, 2, 5, 4, 0, 7, 1, 9]","[0.8209757789316293, 0.7937035201198783, 0.8426200665482277, 0.8545574411977374, 0.8276634832140766, 0.833725457478169, 0.865967566736356, 0.8139057658771836, 0.8758554915375127, 0.9265134486966822]"
temporal_rev,cart,0,24,0.21014492753623187,0.30851063829787234,0.9786860479359765,0.25,0.8306885165794681,0.24413972164593742,0.021587519456330948,3.6819491317728534,0.09888381301425397,9,"[9, 8, 6, 3, 2, 5, 4, 0, 7, 1]","[0.8209757789316293, 0.7937035201198783, 0.8426200665482277, 0.8545574411977374, 0.8276634832140766, 0.833725457478169, 0.865967566736356, 0.8139057658771836, 0.8758554915375127, 0.9265134486966822]"
dist,cart,0,24,0.07635009310986965,0.1453900709219858,0.9699073128904495,0.10012210012210013,0.7033710427720304,0.09099249850209418,0.023456708931011892,3.6819491317728534,0.21401116391643882,21,"[7, 3, 6, 5, 4, 0, 1, 2, 8, 9]","[0.8421009845965721, 0.84148101536882, 0.8273924197023138, 0.883091233802752, 0.8534383372603759, 0.8702852056722453, 0.8762397582056926, 0.8922843347051546, 0.9443215541282974, 0.9317831969683424]"
dist_leak,cart,0,24,0.05788761002031144,0.6063829787234043,0.8818341431546283,0.10568603213844252,0.8236037884041132,0.16098040756286705,0.08157697078249662,3.6819491317728534,0.0952296300092712,21,"[8, 9, 7, 3, 6, 5, 4, 0, 1, 2]","[0.8421009845965721, 0.84148101536882, 0.8273924197023138, 0.883091233802752, 0.8534383372603759, 0.8702852056722453, 0.8762397582056926, 0.8922843347051546, 0.9443215541282974, 0.9317831969683424]"
stationary,cart,0,25,0.06830790568654646,0.7406015037593985,0.8623239084823658,0.12507936507936507,0.842141235531112,0.19713425444309748,0.09473886914153425,4.0717313007917255,0.005571034969761968,-1,[0],[-1]
retrain,cart,0,25,0.16576086956521738,0.22932330827067668,0.9744230192826456,0.19242902208201892,0.8880193344844494,0.18222561217230143,0.023501878386873034,4.0717313007917255,0.005211076000705361,-1,[10],[-1]
oracle,cart,0,25,0.16576086956521738,0.22932330827067668,0.9744230192826456,0.19242902208201892,0.8880193344844494,0.18222561217230143,0.023501878386873034,4.0717313007917255,0.08720083208754659,11,"[10, 8, 9, 6, 7, 4, 2, 3, 1, 0, 5]","[0.842141235531112, 0.848035375498284, 0.8548296812809667, 0.8489338283436416, 0.8565397964839194, 0.8250096306988615, 0.8666039719590592, 0.8614489786129966, 0.8776138021237785, 0.8668740502532152, 0.8880193344844494]"
laf,cart,0,25,0.16149068322981366,0.2932330827067669,0.9703766610050955,0.2082777036048064,0.8614489786129966,0.20351533210188175,0.022529826257938406,4.0717313007917255,4.137422954081558,24,"[7, 10, 9, 1, 5, 8, 2, 0, 4, 6, 3]",[-1]
crc,cart,0,25,0.2159090909090909,0.2857142857142857,0.9767209511439704,0.2459546925566343,0.8668740502532152,0.23674030585045688,0.02287120906475642,4.0717313007917255,0.06315618893131614,11,"[9, 10, 1, 7, 2, 0, 5, 6, 4, 3, 8]",[-1]
temporal,cart,0,25,0.0567699836867863,0.6541353383458647,0.8509841142971326,0.10447313119183428,0.8666039719590592,0.16146382190870975,0.09692194801557868,4.0717313007917255,0.11199044296517968,10,"[6, 9, 8, 2, 5, 1, 3, 4, 0, 7, 10]","[0.7577611661333383, 0.8045784947805297, 0.816003236004194, 0.7989789858938224, 0.7944477450945064, 0.8124393395692183, 0.8460374914786103, 0.7033710427720304, 0.8236037884041132, 0.8306885165794681, 0.9195763898837225]"
