Scenario,Model,Round,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time,Validation Period,Model Ranking,Validation Perf
crc,lr,63,5,1.0,0.0004590103736344441,0.6092121792187594,0.0009175995595522114,0.5321576672182353,0.016721319141250825,0.2310144183663566,12.675222130026668,0.028578885947354138,-1,[0],[-1]
temporal,lr,63,5,1.0,0.0004590103736344441,0.6092121792187594,0.0009175995595522114,0.5321576672182353,0.016721319141250825,0.2310144183663566,12.675222130026668,0.015768944984301925,-1,[0],[-1]
temporal_rev,lr,63,5,1.0,0.0004590103736344441,0.6092121792187594,0.0009175995595522114,0.5321576672182353,0.016721319141250825,0.2310144183663566,12.675222130026668,0.015719876973889768,-1,[0],[-1]
dist,lr,63,5,1.0,0.0004590103736344441,0.6092121792187594,0.0009175995595522114,0.5321576672182353,0.016721319141250825,0.2310144183663566,12.675222130026668,0.028088613064028323,-1,[0],[-1]
dist_leak,lr,63,5,1.0,0.0004590103736344441,0.6092121792187594,0.0009175995595522114,0.5321576672182353,0.016721319141250825,0.2310144183663566,12.675222130026668,0.026939635048620403,-1,[0],[-1]
stationary,lr,63,6,1.0,0.0009590354843129195,0.7646223369916075,0.0019162332329592116,0.5315166389419573,0.02707856968711268,0.21061551628574948,27.83883248793427,0.016771038994193077,-1,[0],[-1]
retrain,lr,63,6,0.6352941176470588,0.007398273736128237,0.7651387992253067,0.014626218851570965,0.5763555094154927,0.04940135991540164,0.21027090754036723,27.83883248793427,0.019939029007218778,-1,[1],[-1]
oracle,lr,63,6,0.6352941176470588,0.007398273736128237,0.7651387992253067,0.014626218851570965,0.5763555094154927,0.04940135991540164,0.21027090754036723,27.83883248793427,0.05101035791449249,2,"[1, 0]","[0.5315166389419573, 0.5763555094154927]"
laf,lr,63,6,0.6352941176470588,0.007398273736128237,0.7651387992253067,0.014626218851570965,0.5763555094154927,0.04940135991540164,0.21027090754036723,27.83883248793427,0.08103268803097308,5,"[1, 0]",[-1]
crc,lr,63,6,0.6352941176470588,0.007398273736128237,0.7651387992253067,0.014626218851570965,0.5763555094154927,0.04940135991540164,0.21027090754036723,27.83883248793427,0.06154142797458917,2,"[1, 0]",[-1]
